2.875989 2.277925 1.048844 3.664112 3.497081 0.771523 3.938800 4.233839 1.695287 4.075367 3.641611 -0.516792 3.530661 3.100639 -1.152915 5.069244 4.536805 -1.164256 5.863256 3.855923 -1.433229 4.403121 5.097720 -2.409525 5.706528 5.680110 -0.332820 6.949163 5.749815 -0.268171 4.904972 6.563817 0.234360 3.923278 6.390105 0.244854 5.305507 7.704611 1.053841 
2.801586 2.221873 1.046178 3.643425 3.497929 0.772920 3.985344 4.263693 1.669798 4.023830 3.676192 -0.481589 3.597219 3.063566 -1.142422 5.054171 4.504690 -1.160725 5.861288 3.849603 -1.453680 4.439680 5.048012 -2.408906 5.702325 5.723927 -0.359116 6.928310 5.841271 -0.299012 4.897522 6.594526 0.198531 3.935925 6.359878 0.318029 5.339374 7.684840 1.070996 
2.693776 2.371264 0.955481 3.660017 3.475531 0.790920 4.099121 4.139994 1.716800 4.025102 3.687168 -0.529129 3.730297 2.950497 -1.132797 5.007357 4.543831 -1.139140 5.829720 3.903136 -1.421324 4.447007 5.160122 -2.407210 5.615375 5.652436 -0.282180 6.844373 5.796215 -0.225239 4.859747 6.625281 0.238825 3.930522 6.277137 0.335495 5.467587 7.747387 0.870499 
2.750657 2.409645 1.029889 3.711281 3.426246 0.781139 4.028012 4.102917 1.734317 4.066083 3.644395 -0.523721 3.601020 3.057022 -1.181535 5.023885 4.516940 -1.158094 5.903292 3.945091 -1.415064 4.470044 5.100823 -2.427619 5.647552 5.690946 -0.381900 6.854968 5.814406 -0.380080 4.819868 6.563892 0.242633 3.871091 6.358228 0.469644 5.462248 7.699447 0.981391 
2.764614 2.259151 1.114532 3.647970 3.419614 0.761867 4.045306 4.133688 1.674942 4.060606 3.662159 -0.546997 3.579958 3.166561 -1.266281 5.057530 4.485059 -1.112984 5.887196 3.854665 -1.396987 4.398544 5.129888 -2.331228 5.668021 5.679660 -0.337797 6.921178 5.792657 -0.392053 4.885829 6.621542 0.214018 3.926444 6.418213 0.393590 5.366802 7.707143 0.996377 
2.818176 2.295748 1.050962 3.649873 3.465097 0.796353 3.949077 4.272484 1.673633 4.017388 3.639296 -0.531624 3.664768 2.984578 -1.195712 5.039702 4.522533 -1.094484 5.850747 3.885800 -1.415697 4.422329 5.190882 -2.373379 5.659090 5.667469 -0.281209 6.871925 5.859408 -0.292651 4.882353 6.570646 0.238315 3.927974 6.282871 0.257185 5.456597 7.693189 0.939309 
2.839429 2.289179 1.046753 3.626245 3.473061 0.747577 3.973996 4.200746 1.627851 3.974336 3.677180 -0.545534 3.678487 2.958315 -1.169805 4.983243 4.528794 -1.126557 5.859590 3.924434 -1.308677 4.429358 5.066509 -2.488760 5.656028 5.707462 -0.357408 6.863471 5.843075 -0.379288 4.919206 6.588719 0.272866 3.949956 6.405540 0.417811 5.456656 7.666986 1.034170 
2.786281 2.305366 1.097997 3.675045 3.412539 0.731495 4.065128 4.073350 1.658423 3.987304 3.681567 -0.530951 3.572976 3.098795 -1.225730 5.030011 4.519111 -1.065510 5.810389 3.870426 -1.435130 4.454550 5.088390 -2.369471 5.701645 5.702702 -0.305697 6.947639 5.758129 -0.215499 4.915948 6.602453 0.227192 3.938756 6.407824 0.262154 5.324327 7.809349 0.941725 
2.749966 2.416318 1.032222 3.690266 3.519282 0.729645 4.046407 4.235146 1.641378 4.058271 3.613985 -0.558136 3.569074 2.976405 -1.148211 5.059614 4.512644 -1.176862 5.945524 3.919194 -1.348269 4.425747 5.090447 -2.455959 5.647172 5.679050 -0.333598 6.833204 5.820528 -0.411665 4.884128 6.552976 0.364679 3.926940 6.282690 0.433568 5.373687 7.711336 1.002208 
2.693958 2.287657 1.022177 3.657136 3.484456 0.751485 4.162893 4.190500 1.660408 3.970091 3.686189 -0.540826 3.626557 3.013113 -1.191182 5.060953 4.499573 -1.129616 5.864574 3.833066 -1.405953 4.416048 5.117446 -2.437034 5.689240 5.661872 -0.332174 6.894114 5.769043 -0.340916 4.900106 6.589266 0.306408 3.915797 6.461766 0.400680 5.358533 7.736051 1.007543 
